,frase,sentimento
0,Nunca abri esse incidente,neutro
1,"Profissionais educados, atenciosos e o mais importante, o problema foi resolvido, aos profissionais envolvidos, meus parabéns e obrigado.",positivo
2,"Não tenho condições de responder a esta pesquisa. Onde está o parecer prometido pela área técnica, explicando que a solução dada até o momento foi apenas provisória? Com os elementos aqui apresentados, a avaliação só pode ser negativa.   Reynaldo Taylor",negativo
3,"Chamado não foi resolvido. Apesar de explicado que a necessidade de privilégios de administrador para o notebook se deve ao fato de trabalharmos em uma gerência técnica que presta suporte à área de automação, o atendente não concedeu os privilégios.",negativo
4,"O chamado foi encerrado como concluído. Porém, o ramal continua constando na conta telefônica da CE.",negativo
5,Houve uma demora para a solução do problema. ,negativo
6,Demora relativamente alta para resolução em um sistema vital.,negativo
7,Foi informado que o skype não poderia ser instalado no desktop. ,neutro
8,Aguardando parecer do gerente da minha unidade.,neutro
9,"Em princípio foi resolvido. Só terei certeza no mês que vem, se vier correto.",neutro
10,Excelente o atendimento do técnico Ricardo Nogueira Erbe.,positivo
11,Concluíram o chamado sem verificar se o problema foi resolvido. Acabei de checar e permanece sem solução.,negativo
12,O microcomputador de mesa corporatativo nº MI00206088 não foi retirado da chave MO18 e consta no DSP de março/15 da gerência UO-ES/PRDC/PRDC-TER.,negativo
